final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour,quant
1949,6,3,9,216.55555555555554,649.6666666666666,3898,64.96666666666667,1000000000,15.392508978963571,4
1252,8,3,11,113.81818181818181,417.3333333333333,2504,41.733333333333334,1000000000,23.961661341853034,3
1079,5,3,8,134.875,359.6666666666667,2158,35.96666666666667,1000000000,27.803521779425395,3
2764,11,3,14,197.42857142857142,921.3333333333334,5528,92.13333333333334,1000000000,10.853835021707669,5
591,6,3,9,65.66666666666667,197,1182,19.7,1000000000,50.76142131979696,2
3085,15,3,18,171.38888888888889,1028.3333333333333,6170,102.83333333333333,1000000000,9.724473257698541,5
1115,5,3,8,139.375,371.6666666666667,2230,37.166666666666664,1000000000,26.90582959641256,3
1637,9,3,12,136.41666666666666,545.6666666666666,3274,54.56666666666667,1000000000,18.32620647525962,4
1344,7,8,15,89.6,168,2688,44.8,2666666666.6666665,59.523809523809526,3
1214,8,3,11,110.36363636363636,404.6666666666667,2428,40.46666666666667,1000000000,24.71169686985173,3
2810,15,3,18,156.11111111111111,936.6666666666666,5620,93.66666666666667,1000000000,10.676156583629894,5
2157,15,3,18,119.83333333333333,719,4314,71.9,1000000000,13.908205841446453,4
661,6,4,10,66.1,165.25,1322,22.033333333333335,1333333333.3333333,60.5143721633888,2
771,4,3,7,110.14285714285714,257,1542,25.7,1000000000,38.91050583657587,2
1495,6,6,12,124.58333333333333,249.16666666666666,2990,49.833333333333336,2000000000,40.13377926421405,3
2735,11,11,22,124.31818181818181,248.63636363636363,5470,91.16666666666667,3666666666.6666665,40.21937842778793,5
1227,9,3,12,102.25,409,2454,40.9,1000000000,24.44987775061125,3
1474,4,3,7,210.57142857142858,491.3333333333333,2948,49.13333333333333,1000000000,20.352781546811396,3
1881,8,3,11,171,627,3762,62.7,1000000000,15.94896331738437,4
2323,13,5,18,129.05555555555554,464.6,4646,77.43333333333334,1666666666.6666665,21.523891519586737,4
925,5,3,8,115.625,308.3333333333333,1850,30.833333333333332,1000000000,32.432432432432435,3
2001,17,3,20,100.05,667,4002,66.7,1000000000,14.992503748125937,4
3461,13,4,17,203.58823529411765,865.25,6922,115.36666666666666,1333333333.3333333,11.557353366079168,5
978,6,3,9,108.66666666666667,326,1956,32.6,1000000000,30.674846625766868,3
1445,7,7,14,103.21428571428571,206.42857142857142,2890,48.166666666666664,2333333333.333333,48.442906574394456,3
1451,9,4,13,111.61538461538461,362.75,2902,48.36666666666667,1333333333.3333333,27.56719503790489,3
1879,12,3,15,125.26666666666667,626.3333333333334,3758,62.63333333333333,1000000000,15.96593932943055,4
1781,6,3,9,197.88888888888889,593.6666666666666,3562,59.36666666666667,1000000000,16.844469399213924,4
1744,9,3,12,145.33333333333334,581.3333333333334,3488,58.13333333333333,1000000000,17.201834862385322,4
1710,9,4,13,131.53846153846155,427.5,3420,57,1333333333.3333333,23.391812865497077,4
2367,15,3,18,131.5,789,4734,78.9,1000000000,12.674271229404308,4
1534,7,3,10,153.4,511.3333333333333,3068,51.13333333333333,1000000000,19.55671447196871,3
1100,6,3,9,122.22222222222223,366.6666666666667,2200,36.666666666666664,1000000000,27.272727272727273,3
1094,6,3,9,121.55555555555556,364.6666666666667,2188,36.46666666666667,1000000000,27.422303473491773,3
1793,8,5,13,137.92307692307693,358.6,3586,59.766666666666666,1666666666.6666665,27.88622420524261,4
1540,8,5,13,118.46153846153847,308,3080,51.333333333333336,1666666666.6666665,32.467532467532465,3
2288,11,3,14,163.42857142857142,762.6666666666666,4576,76.26666666666667,1000000000,13.111888111888112,4
1476,9,4,13,113.53846153846153,369,2952,49.2,1333333333.3333333,27.100271002710027,3
1460,6,3,9,162.22222222222223,486.6666666666667,2920,48.666666666666664,1000000000,20.547945205479454,3
1177,6,3,9,130.77777777777777,392.3333333333333,2354,39.233333333333334,1000000000,25.488530161427356,3
891,7,3,10,89.1,297,1782,29.7,1000000000,33.67003367003367,2
1739,7,6,13,133.76923076923077,289.8333333333333,3478,57.96666666666667,2000000000,34.50258769407705,4
2069,5,4,9,229.88888888888889,517.25,4138,68.96666666666667,1333333333.3333333,19.33301111648139,4
1467,7,5,12,122.25,293.4,2934,48.9,1666666666.6666665,34.08316291751874,3
1294,8,3,11,117.63636363636364,431.3333333333333,2588,43.13333333333333,1000000000,23.1839258114374,3
2623,16,3,19,138.05263157894737,874.3333333333334,5246,87.43333333333334,1000000000,11.43728555089592,4
2287,17,3,20,114.35,762.3333333333334,4574,76.23333333333333,1000000000,13.117621337997377,4
1506,8,4,12,125.5,376.5,3012,50.2,1333333333.3333333,26.560424966799463,3
2171,12,6,18,120.61111111111111,361.8333333333333,4342,72.36666666666666,2000000000,27.63703362505758,4
3810,16,3,19,200.52631578947367,1270,7620,127,1000000000,7.874015748031496,5
1252,9,4,13,96.3076923076923,313,2504,41.733333333333334,1333333333.3333333,31.948881789137378,3
1799,8,3,11,163.54545454545453,599.6666666666666,3598,59.96666666666667,1000000000,16.675931072818234,4
1117,5,3,8,139.625,372.3333333333333,2234,37.233333333333334,1000000000,26.85765443151298,3
1241,7,3,10,124.1,413.6666666666667,2482,41.36666666666667,1000000000,24.174053182917003,3
1687,6,4,10,168.7,421.75,3374,56.233333333333334,1333333333.3333333,23.710729104919974,4
1289,6,3,9,143.22222222222223,429.6666666666667,2578,42.96666666666667,1000000000,23.273855702094643,3
1098,9,3,12,91.5,366,2196,36.6,1000000000,27.3224043715847,3
1729,9,3,12,144.08333333333334,576.3333333333334,3458,57.63333333333333,1000000000,17.35106998264893,4
1179,3,4,7,168.42857142857142,294.75,2358,39.3,1333333333.3333333,33.92705682782019,3
2669,12,3,15,177.93333333333334,889.6666666666666,5338,88.96666666666667,1000000000,11.240164855751217,5
2291,10,8,18,127.27777777777777,286.375,4582,76.36666666666666,2666666666.6666665,34.91924923614142,4
3461,22,3,25,138.44,1153.6666666666667,6922,115.36666666666666,1000000000,8.668015024559377,5
241,4,3,7,34.42857142857143,80.33333333333333,482,8.033333333333333,1000000000,124.48132780082987,1
1238,4,4,8,154.75,309.5,2476,41.266666666666666,1333333333.3333333,32.31017770597738,3
3412,17,3,20,170.6,1137.3333333333333,6824,113.73333333333333,1000000000,8.792497069167643,5
1699,15,7,22,77.22727272727273,242.71428571428572,3398,56.63333333333333,2333333333.333333,41.200706297822244,4
1771,17,3,20,88.55,590.3333333333334,3542,59.03333333333333,1000000000,16.93958215697346,4
1637,12,3,15,109.13333333333334,545.6666666666666,3274,54.56666666666667,1000000000,18.32620647525962,4
1622,11,6,17,95.41176470588235,270.3333333333333,3244,54.06666666666667,2000000000,36.99136868064118,4
1398,7,3,10,139.8,466,2796,46.6,1000000000,21.45922746781116,3
1904,9,3,12,158.66666666666666,634.6666666666666,3808,63.46666666666667,1000000000,15.756302521008402,4
2614,12,3,15,174.26666666666668,871.3333333333334,5228,87.13333333333334,1000000000,11.476664116296861,4
1305,9,3,12,108.75,435,2610,43.5,1000000000,22.98850574712644,3
1598,6,3,9,177.55555555555554,532.6666666666666,3196,53.266666666666666,1000000000,18.773466833541924,4
1335,6,3,9,148.33333333333334,445,2670,44.5,1000000000,22.47191011235955,3
2286,8,4,12,190.5,571.5,4572,76.2,1333333333.3333333,17.497812773403325,4
2117,13,7,20,105.85,302.42857142857144,4234,70.56666666666666,2333333333.333333,33.065658951346244,4
1801,13,3,16,112.5625,600.3333333333334,3602,60.03333333333333,1000000000,16.65741254858412,4
1247,6,3,9,138.55555555555554,415.6666666666667,2494,41.56666666666667,1000000000,24.057738572574177,3
2477,9,8,17,145.7058823529412,309.625,4954,82.56666666666666,2666666666.6666665,32.297133629390395,4
3195,20,3,23,138.91304347826087,1065,6390,106.5,1000000000,9.389671361502348,5
1179,3,3,6,196.5,393,2358,39.3,1000000000,25.44529262086514,3
1503,5,3,8,187.875,501,3006,50.1,1000000000,19.960079840319363,3
2145,7,5,12,178.75,429,4290,71.5,1666666666.6666665,23.310023310023308,4
1476,6,3,9,164,492,2952,49.2,1000000000,20.32520325203252,3
3188,12,3,15,212.53333333333333,1062.6666666666667,6376,106.26666666666667,1000000000,9.410288582183188,5
