final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour
675,11,3,14,48.214285714285715,225,3375,56.25,3000000000,53.333333333333336
524,9,3,12,43.666666666666664,174.66666666666666,2620,43.666666666666664,3000000000,68.70229007633587
676,16,3,19,35.578947368421055,225.33333333333334,3380,56.333333333333336,3000000000,53.25443786982248
344,7,3,10,34.4,114.66666666666667,1720,28.666666666666668,3000000000,104.65116279069767
644,10,3,13,49.53846153846154,214.66666666666666,3220,53.666666666666664,3000000000,55.90062111801243
358,6,3,9,39.77777777777778,119.33333333333333,1790,29.833333333333332,3000000000,100.5586592178771
898,13,6,19,47.26315789473684,149.66666666666666,4490,74.83333333333333,6000000000,80.1781737193764
436,7,3,10,43.6,145.33333333333334,2180,36.333333333333336,3000000000,82.56880733944953
362,6,3,9,40.22222222222222,120.66666666666667,1810,30.166666666666668,3000000000,99.4475138121547
1107,16,11,27,41,100.63636363636364,5535,92.25,11000000000,119.24119241192412
138,3,3,6,23,46,690,11.5,3000000000,260.8695652173913
726,5,6,11,66,121,3630,60.5,6000000000,99.17355371900827
562,13,3,16,35.125,187.33333333333334,2810,46.833333333333336,3000000000,64.05693950177935
683,9,3,12,56.916666666666664,227.66666666666666,3415,56.916666666666664,3000000000,52.7086383601757
617,10,3,13,47.46153846153846,205.66666666666666,3085,51.416666666666664,3000000000,58.346839546191255
652,15,3,18,36.22222222222222,217.33333333333334,3260,54.333333333333336,3000000000,55.214723926380366
518,6,3,9,57.55555555555556,172.66666666666666,2590,43.166666666666664,3000000000,69.4980694980695
988,15,3,18,54.888888888888886,329.3333333333333,4940,82.33333333333333,3000000000,36.43724696356276
499,5,3,8,62.375,166.33333333333334,2495,41.583333333333336,3000000000,72.14428857715431
647,14,3,17,38.05882352941177,215.66666666666666,3235,53.916666666666664,3000000000,55.64142194744977
732,10,5,15,48.8,146.4,3660,61,5000000000,81.9672131147541
1079,15,5,20,53.95,215.8,5395,89.91666666666667,5000000000,55.60704355885079
670,11,3,14,47.857142857142854,223.33333333333334,3350,55.833333333333336,3000000000,53.731343283582085
841,17,3,20,42.05,280.3333333333333,4205,70.08333333333333,3000000000,42.80618311533888
986,13,13,26,37.92307692307692,75.84615384615384,4930,82.16666666666667,13000000000,158.21501014198782
425,5,6,11,38.63636363636363,70.83333333333333,2125,35.416666666666664,6000000000,169.41176470588238
625,6,3,9,69.44444444444444,208.33333333333334,3125,52.083333333333336,3000000000,57.6
848,16,4,20,42.4,212,4240,70.66666666666667,4000000000,56.60377358490565
795,13,3,16,49.6875,265,3975,66.25,3000000000,45.283018867924525
309,4,3,7,44.142857142857146,103,1545,25.75,3000000000,116.50485436893204
552,9,3,12,46,184,2760,46,3000000000,65.21739130434783
864,8,5,13,66.46153846153847,172.8,4320,72,5000000000,69.44444444444444
635,8,6,14,45.357142857142854,105.83333333333333,3175,52.916666666666664,6000000000,113.38582677165354
995,13,3,16,62.1875,331.6666666666667,4975,82.91666666666667,3000000000,36.18090452261306
914,14,7,21,43.523809523809526,130.57142857142858,4570,76.16666666666667,7000000000,91.90371991247264
750,15,3,18,41.666666666666664,250,3750,62.5,3000000000,48
534,12,3,15,35.6,178,2670,44.5,3000000000,67.41573033707864
553,7,6,13,42.53846153846154,92.16666666666667,2765,46.083333333333336,6000000000,130.19891500904157
547,9,3,12,45.583333333333336,182.33333333333334,2735,45.583333333333336,3000000000,65.81352833638024
761,11,5,16,47.5625,152.2,3805,63.416666666666664,5000000000,78.84362680683311
499,6,3,9,55.44444444444444,166.33333333333334,2495,41.583333333333336,3000000000,72.14428857715431
904,12,5,17,53.1764705882353,180.8,4520,75.33333333333333,5000000000,66.3716814159292
892,18,3,21,42.476190476190474,297.3333333333333,4460,74.33333333333333,3000000000,40.35874439461884
623,7,5,12,51.916666666666664,124.6,3115,51.916666666666664,5000000000,96.30818619582665
582,12,9,21,27.714285714285715,64.66666666666667,2910,48.5,9000000000,185.56701030927834
461,4,5,9,51.22222222222222,92.2,2305,38.416666666666664,5000000000,130.15184381778744
453,6,3,9,50.333333333333336,151,2265,37.75,3000000000,79.47019867549669
959,9,6,15,63.93333333333333,159.83333333333334,4795,79.91666666666667,6000000000,75.07820646506778
330,5,3,8,41.25,110,1650,27.5,3000000000,109.0909090909091
830,20,8,28,29.642857142857142,103.75,4150,69.16666666666667,8000000000,115.66265060240963
421,9,3,12,35.083333333333336,140.33333333333334,2105,35.083333333333336,3000000000,85.5106888361045
520,10,5,15,34.666666666666664,104,2600,43.333333333333336,5000000000,115.38461538461537
395,4,3,7,56.42857142857143,131.66666666666666,1975,32.916666666666664,3000000000,91.13924050632912
712,11,5,16,44.5,142.4,3560,59.333333333333336,5000000000,84.26966292134831
771,13,7,20,38.55,110.14285714285714,3855,64.25,7000000000,108.94941634241246
787,9,3,12,65.58333333333333,262.3333333333333,3935,65.58333333333333,3000000000,45.7433290978399
670,8,3,11,60.90909090909091,223.33333333333334,3350,55.833333333333336,3000000000,53.731343283582085
1225,17,4,21,58.333333333333336,306.25,6125,102.08333333333333,4000000000,39.183673469387756
